owner,type,violations,complaints,buildings,viol_per_bldg,top_category,top_district,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,dt1,dt2,dt3,dt4,dt5,dt6,dt7,dt8,dt9
1980 HARBOR LLC,LLC,14,17,1,14.0,No type recorded,7,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,31,0,0
COSMOPOLITAN LB INVESTMENT LLC,LLC,13,41,2,6.5,No type recorded,1,12,0,0,0,0,0,1,0,0,51,0,0,0,0,0,3,0,0
327 W 6TH STREET INVESTORS LP,Limited Partnership,13,22,1,13.0,No type recorded,1,13,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
PGLB LLC,LLC,13,48,7,1.9,No type recorded,6,4,2,0,0,0,5,2,0,0,20,6,0,0,0,17,18,0,0
PINE AVE FUND LLC,LLC,13,18,3,4.3,Property Maintenance,1,13,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
BAYWEST7 LLC,LLC,13,16,1,13.0,No type recorded,1,13,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
BROADLINE APARTMENT INC,Corporation,13,14,1,13.0,No type recorded,1,13,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
DENALI CBH LP,Limited Partnership,13,26,2,6.5,No type recorded,1,13,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
LONG BEACH REGAL LP,Limited Partnership,13,9,1,13.0,Vehicles,1,13,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
KGP II LLC,LLC,13,21,3,4.3,No type recorded,1,8,0,0,0,0,5,0,0,0,21,0,0,0,0,13,0,0,0
K AND J APARTMENTS LLC,LLC,13,12,1,13.0,Unpermitted Construction,2,0,13,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
445 ROSE APTS LLC,LLC,13,18,2,6.5,No type recorded,2,0,13,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
WALKER WEST HOLDINGS LLC,LLC,13,9,2,6.5,No type recorded,2,0,11,0,0,0,2,0,0,0,0,14,0,0,0,8,0,0,0
1309 EAST THIRD STREET LLC,LLC,13,9,1,13.0,Property Maintenance,2,0,13,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
2525 E 10TH LLC,LLC,13,8,1,13.0,No type recorded,2,0,13,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
"STORR,JAMES I CO TR  STORR",Corporation,13,11,2,6.5,No type recorded,8,0,6,0,0,0,0,0,7,0,0,15,0,0,0,0,0,9,0
"MADAN,A K CO TR  MADAN FAMILY",Corporation,13,16,4,3.2,No type recorded,5,0,0,4,2,7,0,0,0,0,0,0,6,3,20,0,0,0,0
RLMA GODIN INVESTMENTS LLC,LLC,13,23,8,1.6,No type recorded,5,0,0,0,0,13,0,0,0,0,0,0,0,0,29,0,0,7,0
JT INVESTMENT GROUP LLC,LLC,13,37,1,13.0,Other,5,0,0,0,0,13,0,0,0,0,0,0,0,0,50,0,0,0,0
GRU GROUP HOLDINGS LLC,LLC,13,78,2,6.5,Other,5,0,0,0,0,13,0,0,0,0,0,0,0,0,91,0,0,0,0
2017 2 IH BORROWER LP,Limited Partnership,13,16,7,1.9,Property Maintenance,9,0,0,0,0,0,4,2,2,5,0,0,0,0,5,9,4,3,8
JAMA UNIVERSAL LLC,LLC,13,13,2,6.5,Property Maintenance,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,26,0,0,0
1400 LONG BEACH LP,Limited Partnership,13,15,1,13.0,Other,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,28,0,0,0
LTH REALTY LLC ET AL,LLC,13,53,3,4.3,Other,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,66,0,0,0
"VALDEZ,SALVADOR CO TR  VALDEZ",Corporation,13,10,1,13.0,Property Maintenance,7,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,23,0,0
STM PROPERTIES LLC,LLC,13,48,4,3.2,No type recorded,9,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,4,57
LYNWOOD DEL CAPRI LP,Limited Partnership,13,20,1,13.0,No type recorded,8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,33,0
451 E 55TH STREET LLC,LLC,13,17,2,6.5,No type recorded,8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,30,0
BASTANCHURY LLC,LLC,13,63,1,13.0,Other,9,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,76
"WALLENS,DONALD E CO TR  WALLENS",Corporation,12,13,4,3.0,No type recorded,6,4,0,0,0,0,8,0,0,0,7,0,0,0,0,18,0,0,0
12111 S FIGUEROA LLC,LLC,12,13,1,12.0,No type recorded,1,12,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
927 CHESTNUT LLC,LLC,12,30,1,12.0,No type recorded,1,12,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
MAZAL AT 1242 CEDAR AVE LLC,LLC,12,8,1,12.0,No type recorded,1,12,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
MAGOULA LLC,LLC,12,12,2,6.0,Graffiti,1,12,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
236 ATLANTIC APARTMENTS LLC,LLC,12,9,2,6.0,No type recorded,1,12,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
SUKH MAYA PROPERTIES LLC,LLC,12,23,3,4.0,No type recorded,9,3,0,0,0,0,4,0,0,5,5,0,0,0,0,10,0,0,20
SOCAL EQUITY HOLDINGS LLC,LLC,12,46,6,2.0,No type recorded,7,2,0,0,0,0,2,7,0,1,2,0,0,0,0,8,29,0,19
BLN INVESTMENTS LLC,LLC,12,27,8,1.5,No type recorded,2,0,7,0,0,0,0,5,0,0,0,17,0,0,1,0,21,0,0
SOKHA INTERNATIONAL LLC,LLC,12,21,4,3.0,No type recorded,3,0,5,7,0,0,0,0,0,0,0,18,15,0,0,0,0,0,0
"PAPPAS,GREGORY J CO TR  G J AND",Corporation,12,26,1,12.0,No type recorded,2,0,12,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
1628 1724 OCEAN AVENUE LLC,LLC,12,61,6,2.0,No type recorded,2,0,12,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0
1236 BE WATER LLC,LLC,12,17,2,6.0,No type recorded,2,0,10,2,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0
G AND R PARK LLC,LLC,12,27,5,2.4,No type recorded,4,0,0,0,6,1,5,0,0,0,0,1,0,27,2,9,0,0,0
AD ASTRA INVESTMENTS LLC,LLC,12,29,2,6.0,No type recorded,7,0,5,0,0,0,0,7,0,0,0,13,0,0,0,0,28,0,0
NEW CENTURY PROPERTY 6 LLC,LLC,12,23,1,12.0,No type recorded,3,0,0,12,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
FAIRWAY APARTMENTS LB LLC,LLC,12,16,1,12.0,No type recorded,3,0,0,12,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
DYNASTY CA PROPERTIES LLC,LLC,12,36,4,3.0,No type recorded,8,0,0,0,0,5,0,0,7,0,0,0,0,0,20,0,0,28,0
WARDLOW FUNDING LLC,LLC,12,80,2,6.0,Property Maintenance,5,0,0,0,0,12,0,0,0,0,0,0,0,0,92,0,0,0,0
AF PROPERTIES 2015 LLC,LLC,12,79,5,2.4,Other,8,0,0,0,0,3,0,3,6,0,0,0,0,0,6,0,4,81,0
MJC88 LLC,LLC,12,25,1,12.0,No type recorded,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,37,0,0,0
STRUCTURE PROPERTIES LLC,LLC,12,23,1,12.0,No type recorded,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,35,0,0,0
1090 WALNUT LLC,LLC,12,8,1,12.0,No type recorded,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,20,0,0,0
